507554	9458216	24M	1	ANFÍBIO
507667	9458299	24M	1	ANFÍBIO
507740	9458336	24M	1	ANFÍBIO
507741	9458346	24M	1	ANFÍBIO
507765	9458355	24M	1	ANFÍBIO
507786	9458369	24M	1	ANFÍBIO
507788	9458370	24M	1	ANFÍBIO
507862	9458429	24M	1	ANFÍBIO
515634	9464199	24M	1	ANFÍBIO
523233	9470661	24M	1	ANFÍBIO
523284	9470699	24M	1	ANFÍBIO
507471	9458163	24M	1	ANFÍBIO
523157	9470585	24M	1	ANFÍBIO
523255	9470669	24M	1	ANFÍBIO
500066	9452543	24M	1	ANFÍBIO
500031	9452658	24M	1	ANFÍBIO
500255	9453131	24M	1	ANFÍBIO
502865	9454898	24M	1	ANFÍBIO
503888	9455760	24M	1	ANFÍBIO
505915	9457126	24M	1	ANFÍBIO
507637	9458266	24M	1	ANFÍBIO
507750	9458342	24M	1	ANFÍBIO
507833	9458408	24M	1	ANFÍBIO
507892	9458439	24M	1	ANFÍBIO
507893	9458439	24M	1	ANFÍBIO
521271	9468990	24M	1	ANFÍBIO
527976	9474624	24M	1	ANFÍBIO
530869	9477655	24M	1	ANFÍBIO
500703	9453369	24M	1	ANFÍBIO
500899	9453425	24M	1	ANFÍBIO
501813	9454003	24M	1	ANFÍBIO
503503	9455438	24M	1	ANFÍBIO
505557	9456878	24M	1	ANFÍBIO
507810	9458392	24M	1	ANFÍBIO
507865	9458429	24M	1	ANFÍBIO
502347	9454466	24M	1	ANFÍBIO
507636	9458275	24M	1	ANFÍBIO
507729	9458331	24M	1	ANFÍBIO
507872	9458433	24M	1	ANFÍBIO
510887	9460436	24M	1	ANFÍBIO
513856	9462695	24M	1	ANFÍBIO
500009	9452793	24M	1	ANFÍBIO
518490	9466615	24M	1	ANFÍBIO
509480	9459503	24M	1	ANFÍBIO
503225	9455202	24M	1	ANFÍBIO
503471	9455417	24M	1	ANFÍBIO
520985	9468755	24M	1	ANFÍBIO
519212	9467237	24M	1	ANFÍBIO
506041	9457203	24M	1	ANFÍBIO
510302	9460048	24M	1	ANFÍBIO
515963	9464470	24M	1	ANFÍBIO
507566	9458222	24M	1	ANFÍBIO
523500	9470876	24M	1	ANFÍBIO
530065	9476697	24M	1	ANFÍBIO
530051	9476681	24M	1	ANFÍBIO
530056	9476683	24M	1	ANFÍBIO
501295	9453576	24M	1	ANFÍBIO
501379	9453641	24M	1	ANFÍBIO
521252	9468977	24M	1	ANFÍBIO
501369	9453636	24M	1	ANFÍBIO
501272	9453560	24M	1	ANFÍBIO
516016	9464523	24M	1	ANFÍBIO
507317	9458062	24M	1	ANFÍBIO
518682	9466792	24M	1	ANFÍBIO
518700	9466809	24M	1	ANFÍBIO
518703	9466811	24M	1	ANFÍBIO
518718	9466821	24M	1	ANFÍBIO
519004	9467057	24M	1	ANFÍBIO
519013	9467064	24M	1	ANFÍBIO
523725	9471069	24M	1	ANFÍBIO
515731	9464270	24M	1	ANFÍBIO
523613	9470976	24M	1	ANFÍBIO
523802	9471146	24M	1	ANFÍBIO
507706	9458313	24M	1	ANFÍBIO
517252	9465563	24M	1	ANFÍBIO
523379	9470783	24M	1	ANFÍBIO
523450	9470845	24M	1	ANFÍBIO
523559	9470923	24M	1	ANFÍBIO
528447	9474936	24M	1	ANFÍBIO
527181	9474024	24M	1	ANFÍBIO
527186	9474029	24M	1	ANFÍBIO
527192	9474033	24M	1	ANFÍBIO
527206	9474046	24M	1	ANFÍBIO
527213	9474038	24M	1	ANFÍBIO
527453	9474242	24M	1	ANFÍBIO
520705	9468505	24M	1	ANFÍBIO
527189	9474026	24M	1	ANFÍBIO
527209	9474041	24M	1	ANFÍBIO
515647	9464197	24M	1	ANFÍBIO
505786	9457031	24M	1	ANFÍBIO
520177	9468064	24M	1	ANFÍBIO
520167	9468058	24M	1	ANFÍBIO
523677	9471030	24M	1	ANFÍBIO
523960	9471268	24M	1	ANFÍBIO
